,Region,Product,Year,Month,Price
0,PHILIPPINES,"FRESH FRUIT, AVOCADO, 1 KG",2018,January,63.9
1,PHILIPPINES,"FRESH FRUIT, BANANA, CARDAVA, MEDIUM, 1 KG",2018,January,26.68
2,PHILIPPINES,"FRESH FRUIT, BANANA, LAKATAN, MEDIUM, 1 KG",2018,January,52.06
3,PHILIPPINES,"FRESH FRUIT, BANANA, LATUNDAN, MEDIUM, 1 KG",2018,January,36.55
4,PHILIPPINES,"FRESH FRUIT, BANANA, SABA, MEDIUM, 1 KG",2018,January,32.33
5,PHILIPPINES,"FRESH FRUIT, GUAVA, BAYABAS, 1 KG",2018,January,58.24
6,PHILIPPINES,"FRESH FRUIT, MANGO, CEBU, RIPE, MEDIUM, 1 KG",2018,January,111.76
7,PHILIPPINES,"FRESH FRUIT, MANGO, INDIAN, MEDIUM, 1 KG",2018,January,67.71
8,PHILIPPINES,"FRESH FRUIT, MANGO, KALABAW, RIPE, MEDIUM, 1 KG",2018,January,140.22
9,PHILIPPINES,"FRESH FRUIT, MANGO, NATIVE, MEDIUM, 1 KG",2018,January,75.91
10,PHILIPPINES,"FRESH FRUIT, MANGO, NATIVE, RIPE, MEDIUM, 1 KG",2018,January,79.79
11,PHILIPPINES,"FRESH FRUIT, MANGO, PIKO, RIPE, MEDIUM, 1 KG",2018,January,116.98
12,PHILIPPINES,"FRESH FRUIT, MANGO, RIPE, MEDIUM, 1 KG",2018,January,111.18
13,PHILIPPINES,"FRESH FRUIT, PAPAYA, MEDIUM, 1 KG",2018,January,37.37
14,PHILIPPINES,"FRESH FRUIT, PAPAYA, NATIVE, MEDIUM, 1 KG",2018,January,34.75
15,PHILIPPINES,"FRESH FRUIT, PAPAYA, NATIVE, RIPE, MEDIUM, 1 KG",2018,January,43.08
16,PHILIPPINES,"FRESH FRUIT, PAPAYA, SOLO, MEDIUM, 1 KG",2018,January,20.24
17,PHILIPPINES,"FRESH FRUIT, PAPAYA, TAGALOG, MEDIUM, 1 KG",2018,January,37.22
18,PHILIPPINES,"FRESH FRUIT, PINEAPPLE, PINYA, FORMOSA, MEDIUM, 1 KG",2018,January,30.05
19,PHILIPPINES,"FRESH FRUIT, PINEAPPLE, PINYA, HAWAIIAN, MEDIUM, 1 KG",2018,January,47.88
20,PHILIPPINES,"FRESH FRUIT, PINEAPPLE, PINYA, MEDIUM, 1 KG",2018,January,50.22
21,PHILIPPINES,"FRESH FRUIT, GRAPES, 1 KG",2018,January,262.97
22,PHILIPPINES,"FRESH FRUIT, GRAPES, SEEDLESS, 1 KG",2018,January,259.99
23,PHILIPPINES,"FRESH FRUIT, GRAPES, WITH SEEDS, 1 KG",2018,January,257.14
24,PHILIPPINES,"FRESH FRUIT, GUYABANO, 1 KG",2018,January,67.87
25,PHILIPPINES,"FRESH FRUIT, JACKFRUIT, LANGKA, 1 KG",2018,January,81.91
26,PHILIPPINES,"FRESH FRUIT, LANZONES, 1 KG",2018,January,118.28
27,PHILIPPINES,"FRESH FRUIT, RAMBUTAN, 1 KG",2018,January,64.27
28,PHILIPPINES,"FRESH FRUIT, POMELO, MEDIUM, 1 KG",2018,January,73.13
29,PHILIPPINES,"FRESH FRUIT, ORANGE, DALANDAN, MEDIUM, 1 KG",2018,January,59.67
30,PHILIPPINES,"FRESH FRUIT, ORANGE, SINTONES, MEDIUM, 1 KG",2018,January,70.37
31,PHILIPPINES,"FRESH FRUIT, MANDARIN, DALANGHITA, MEDIUM, 1 KG",2018,January,43.09
32,PHILIPPINES,"CALAMANSI, LOOSE, 1 KG",2018,January,51.69
33,PHILIPPINES,"FRESH FRUIT, APPLE, RED DELICIOUS, MEDIUM, 1 KG",2018,January,68.84
34,PHILIPPINES,"FRESH FRUIT, CANTALOUPE, MELON, MEDIUM, 1 KG",2018,January,52.17
35,PHILIPPINES,"FRESH FRUIT, WATERMELON, PAKWAN, MEDIUM, 1 KG",2018,January,40.65
36,..National Capital Region (NCR),"FRESH FRUIT, AVOCADO, 1 KG",2018,January,157.4
38,..National Capital Region (NCR),"FRESH FRUIT, BANANA, LAKATAN, MEDIUM, 1 KG",2018,January,66.96
44,..National Capital Region (NCR),"FRESH FRUIT, MANGO, KALABAW, RIPE, MEDIUM, 1 KG",2018,January,168.49
56,..National Capital Region (NCR),"FRESH FRUIT, PINEAPPLE, PINYA, MEDIUM, 1 KG",2018,January,58.23
57,..National Capital Region (NCR),"FRESH FRUIT, GRAPES, 1 KG",2018,January,251.95
68,..National Capital Region (NCR),"CALAMANSI, LOOSE, 1 KG",2018,January,58.59
